Date,Glasgow Anderston
01/10/2007,29
02/10/2007,34
03/10/2007,26
04/10/2007,24
05/10/2007,29
06/10/2007,31
07/10/2007,19
08/10/2007,23
09/10/2007,26
10/10/2007,26
11/10/2007,18
12/10/2007,29
13/10/2007,22
14/10/2007,29
15/10/2007,25
16/10/2007,21
17/10/2007,22
18/10/2007,37
19/10/2007,34
20/10/2007,32
21/10/2007,29
22/10/2007,32
23/10/2007,41
24/10/2007,58
25/10/2007,45
26/10/2007,30
27/10/2007,22
28/10/2007,14
29/10/2007,21
30/10/2007,25
31/10/2007,33
01/11/2007,22
02/11/2007,23
03/11/2007,41
04/11/2007,38
05/11/2007,31
06/11/2007,34
07/11/2007,24
08/11/2007,23
09/11/2007,29
10/11/2007,20
11/11/2007,19
12/11/2007,36
13/11/2007,27
14/11/2007,48
15/11/2007,50
16/11/2007,35
17/11/2007,20
18/11/2007,15
19/11/2007,21
20/11/2007,27
21/11/2007,15
22/11/2007,17
23/11/2007,39
24/11/2007,21
25/11/2007,26
26/11/2007,30
27/11/2007,21
28/11/2007,13
29/11/2007,21
30/11/2007,19
01/12/2007,20
02/12/2007,23
03/12/2007,23
04/12/2007,20
05/12/2007,26
06/12/2007,28
07/12/2007,27
08/12/2007,21
09/12/2007,22
10/12/2007,38
11/12/2007,42
12/12/2007,25
13/12/2007,37
14/12/2007,37
15/12/2007,31
16/12/2007,28
17/12/2007,31
18/12/2007,41
19/12/2007,54
20/12/2007,31
21/12/2007,35
22/12/2007,33
23/12/2007,21
24/12/2007,21
25/12/2007,12
26/12/2007,18
27/12/2007,26
28/12/2007,16
29/12/2007,24
30/12/2007,28
31/12/2007,20
